iter	Passed	Remaining
0	10	7031
1	20	6665
2	30	6447
3	39	6367
4	48	6238
5	58	6261
6	68	6238
7	77	6172
8	86	6128
9	106	6769
10	116	6689
11	125	6635
12	136	6640
13	147	6663
14	159	6687
15	168	6616
16	177	6541
17	186	6490
18	196	6462
19	205	6436
20	215	6409
21	225	6384
22	235	6356
23	243	6309
24	253	6288
25	262	6238
26	271	6219
27	281	6206
28	294	6247
29	304	6248
30	315	6242
31	325	6232
32	335	6227
33	347	6236
34	356	6221
35	367	6210
36	376	6191
37	386	6179
38	396	6165
39	407	6169
40	418	6159
41	427	6141
42	437	6123
43	449	6137
44	459	6125
45	469	6107
46	479	6104
47	489	6090
48	499	6078
49	508	6048
50	525	6120
51	535	6108
52	545	6095
53	556	6088
54	566	6073
55	576	6066
56	586	6051
57	605	6123
58	614	6100
59	623	6082
60	633	6069
61	644	6063
62	656	6062
63	666	6046
64	675	6028
65	685	6009
66	694	5990
67	704	5978
68	714	5962
69	723	5946
70	738	5969
71	748	5960
72	758	5944
73	768	5931
74	777	5911
75	787	5899
76	797	5884
77	806	5865
78	817	5853
79	828	5848
80	838	5839
81	850	5836
82	859	5819
83	870	5811
84	881	5808
85	892	5801
86	902	5787
87	912	5775
88	922	5761
89	932	5751
90	943	5744
91	953	5729
92	963	5721
93	973	5707
94	984	5697
95	995	5690
96	1005	5683
97	1016	5672
98	1029	5676
99	1042	5682
100	1052	5668
101	1062	5657
102	1073	5648
103	1083	5636
104	1094	5628
105	1105	5622
106	1117	5616
107	1127	5607
108	1139	5601
109	1149	5593
110	1160	5582
111	1170	5570
112	1180	5556
113	1202	5601
114	1212	5586
115	1223	5578
116	1233	5567
117	1244	5558
118	1255	5550
119	1267	5545
120	1277	5533
121	1288	5522
122	1298	5511
123	1308	5498
124	1325	5514
125	1343	5535
126	1358	5541
127	1374	5553
128	1394	5577
129	1414	5602
130	1434	5629
131	1457	5663
132	1471	5665
133	1486	5669
134	1501	5671
135	1516	5676
136	1531	5678
137	1551	5701
138	1569	5714
139	1586	5723
140	1601	5723
141	1614	5717
142	1624	5703
143	1635	5690
144	1647	5680
145	1663	5684
146	1679	5691
147	1696	5697
148	1707	5685
149	1718	5669
150	1728	5656
151	1740	5643
152	1750	5628
153	1761	5614
154	1772	5602
155	1782	5586
156	1792	5572
157	1803	5559
158	1813	5543
159	1824	5529
160	1833	5512
161	1843	5497
162	1853	5482
163	1866	5473
164	1876	5459
165	1888	5449
166	1899	5435
167	1909	5420
168	1919	5407
169	1929	5391
170	1940	5379
171	1950	5365
172	1961	5350
173	1971	5336
174	1983	5326
175	1994	5313
176	2004	5300
177	2014	5284
178	2024	5270
179	2039	5267
